UACE Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
00766,0.00034509397241700666,0.0003661611073833146,0.00036795884467931514,0.000364500459130386,0.00038732992973729914,0.000453986934291088,0.0003909338410214067,0.0004278014860841787,0.0004506510768281178,0.00048052050542339293,0.0004893509172260292,0.0004929210572016469,0.0005087719298245614,0.000528136887466487,0.0004755579031230642,0.000451047324868152,0.00041950947231325246,0.0004160507827723377,0.00046350755833347965,0.0005074635776357816,0.0005169946553692454,0.0005124340617935192,0.00043655439200446174,0.0004566201869098632,0.0004822841553458859,0.0004702248217214931,0.0004744031336053729,0.0004804504176995742
00901,0.0001366220718211722,0.0001365747063643813,0.0001260252680662473,0.00011548313946163861,0.00011544314425145617,0.00012589437461969408,0.0001363383708613439,0.00012580726327266628,0.0001257637527903833,0.00012572027239392353,0.00012567813828784482,0.0001256347170601476,0.00011512538200694938,0.00011508563417415595,0.00011504591377831699,0.00011500622079103369,0.00011496655518394649,0.00011492691692873486,0.00011488730599711737,0.00011484772236085153,0.00012658628437608787,0.0001279113148217236,0.00011849234647162109,0.00013064637293007153,0.00015406794396328783,0.0001557511097266568,0.00015747145829818346,0.00019335100030708687
01171,0.00030679029179165527,0.0003142515128522666,0.0003052196577523785,0.0002459429178199307,0.0002525506667907266,0.0002458683033238437,0.00025033678401878786,0.0002580917015617182,0.000241488804167994,0.0002290238402115712,0.00024652940475393593,0.00023930467633244843,0.0002947924676625141,0.0002792013316225259,0.00029861710419049384,0.0002879834869976187,0.0002419889486940472,0.00024274160506923046,0.00026959924622251566,0.00026709185531715137,0.00027681884088157397,0.00028780984738046184,0.0003693958843697533,0.0003653392673287057,0.00036396025818678974,0.00036918419522460243,0.00035860608632029437,0.00034810693949875217
01495,0.00018712687805967534,0.00019374749166193832,0.00021374289061999038,0.00020822905960700107,0.00021604926674757556,0.00021807026297795273,0.00023820997026921363,0.00023981716625593504,0.00025546924414579015,0.0002723765110824277,0.0002699784017278618,0.00026091816259746556,0.0002720276008492569,0.00027791173850140184,0.00027395979881681597,0.00029871947857561655,0.0002475798288251867,0.0002442032636684276,0.0002454919445096718,0.0002437369386339598,0.00024532222013580555,0.0002575979977471607,0.0002562269280692764,0.00025483766840522586,0.00025653902424993433,0.00027391599700727205,0.0002804973943683057,0.0002744759571754044
01792,0.0004596292324191819,0.000461036504634008,0.00046245242076055636,0.00045198277707733664,0.0004533794666825747,0.00045478481497438845,0.0004321884341572926,0.0004455791324453864,0.0004832143418016647,0.0004968492486669898,0.0004984135860249693,0.0004999878051754835,0.0005015720000489339,0.0004908939178243581,0.00048014773776546634,0.00048168366968851125,0.00047083896068494675,0.00044749403341288785,0.00041152776565364326,0.0004253722006755912,0.0004283248718174832,0.0004439990358878078,0.0004471243516696901,0.00045028818443804033,0.000440540050273394,0.000443707831443225,0.0004469156249589232,0.0004501760982972751
02305,0.00026134895509729087,0.00025810347514414834,0.0002597477560679962,0.00024234475679990876,0.00023474839666845078,0.00030620198196191963,0.0003530587728227278,0.0003807037580899549,0.00036291298153176164,0.00037653270961797436,0.000565063317753939,0.000532829672114814,0.0005484311868822116,0.0005721720924121504,0.0006289492773372804,0.000547620134166933,0.0005583083257729081,0.000568775061651154,0.0004785016063982501,0.0004895658784523349,0.00045808885330401566,0.000458452265152844,0.0004707853737357617,0.0004711594515384554,0.0005114946432924271,0.0007638533401586895,0.0008405076666306449,0.0007971159623472862
02602,0.000344700886752501,0.00034559312419940727,0.0003464706561707169,0.0003436388023633482,0.0003445179497516905,0.0003526554592519342,0.0003462354112266832,0.0003327608415629025,0.00033369779759453587,0.00044381199278629394,0.00045086765810950144,0.0004404721028554385,0.0004440023542450411,0.0004406475127326636,0.0004509040116896017,0.0004374541514398972,0.0004409023802048192,0.00044098435666019005,0.0004377736085053158,0.00043134153753651694,0.0004362149563133977,0.00045726516515055696,0.0004749258534126815,0.0004956741167988464,0.0006220839813374806,0.0006325433995054661,0.0006079162794250576,0.000976677078213442
02764,0.00024065309547757297,0.00033958740130741154,0.00033978527954790674,0.00032825322391559204,0.00041511239744705875,0.00040840868095340735,0.00039075365215109883,0.00036266127436973864,0.00038953661373657583,0.0003836255814325219,0.00036214769327664936,0.0003930146811668399,0.0003720238095238095,0.00034661000346610004,0.00036153289949385393,0.00036138988596684003,0.00037088414927846175,0.0003896245824602417,0.0004219290596607691,0.00041174347918613576,0.0004181312748409033,0.00033315686668248785,0.0003399864912034162,0.00033771765903124566,0.0003802111290033995,0.000328828968943437,0.0003355067697319919,0.00032455570954895526
03358,0.00010095071823466884,9.752907226904254e-05,9.988069805510085e-05,9.133744889132455e-05,7.811238810400404e-05,7.578130525720174e-05,8.830195343543655e-05,8.581481163648845e-05,7.419016794799269e-05,8.123843480615606e-05,9.671307428882919e-05,9.426484135655676e-05,0.00010029545369066376,8.97223094522453e-05,8.761135602467456e-05,8.559778379556137e-05,8.367436977986035e-05,8.183549577431259e-05,8.00757079420543e-05,7.83900116872381e-05,7.82472613458529e-05,7.455453664355477e-05,0.0002090819530380671,0.00020870254227995147,0.00019066988686920047,0.00019032580958960115,0.00019350049430580819,0.0001720807726075505
03763,0.0001966750349965871,0.00020301362446990888,0.0001980394098425587,0.00020404218303657725,0.00020976233926960753,0.00020497473686368156,0.00020040080160320639,0.00019602654199378595,0.00019183916204654016,0.0001878251723295956,0.00018397740757434986,0.00019831254056392876,0.00019440983360285606,0.00019065776930409916,0.00018704620041150164,0.0001835704451583295,0.00018841339537322238,0.00020112792540567505,0.000521631917550543,0.0005281389316060083,0.0005222774368466731,0.00053932925671313,0.0005860651734527503,0.000550034562982674,0.0005588933910856504,0.000553012828442323,0.0005976597659765976,0.0006128804669293976
03817,0.00030435243315654853,0.0002909901703371616,0.0002832623504177582,0.0003082520207632472,0.00028040975251082033,0.00027734606323748836,0.00030452251933076404,0.0002702683027150589,0.00026748810134061854,0.00025772606747737043,0.000262675844956832,0.00025898235328271606,0.00025312043880517694,0.00026113196611121507,0.00022631835431872563,0.00022632214109506333,0.00023796264081534264,0.00024209801583979605,0.00023811352464429668,0.00023253655973011586,0.00023349937733499379,0.00021846330064802865,0.00021446116312990506,0.00021897982353595143,0.00022463660349455517,0.00025420068167704223,0.00021585053639772055,0.00021412060147219452
04222,9.323590756523061e-05,9.161735164775504e-05,8.338336335134414e-05,8.198468526079328e-05,8.063189604290907e-05,7.932302557057052e-05,7.805621296232696e-05,6.453635240536205e-05,6.353739932347797e-05,5.958942883532461e-05,6.456441033617514e-05,8.384871378964382e-05,6.268217005672737e-05,8.143962796131336e-05,6.367522314012979e-05,6.005612517880346e-05,4.8460177848852704e-05,5.0457436496660514e-05,4.978109418845026e-05,4.9122643728977446e-05,9.201136851575438e-05,4.801314043843578e-05,4.747697366777113e-05,4.942371943142953e-05,4.643966631877653e-05,4.593788231198108e-05,4.544671731185059e-05,4.496605063177301e-05
04681,0.00020281666085496117,0.00019739372219896607,0.00019242309598977223,0.0001878504585116608,0.0001806195249706493,0.0001739246384541578,0.0001760937377712682,0.00018081181807632417,0.0001747804809332756,0.00019185863048280213,0.00021520575381929076,0.0001825951273186024,0.00017722130798531594,0.0001721547514711406,0.000167369837346949,0.0001670734234824869,0.00016267428284321697,0.00016853256289876007,0.00016627315353662998,0.00016412401668721398,0.00016268836853833957,0.00016127761879221816,0.00015989112529886626,0.00014931150804623126,0.00014804958381616995,0.00014862126589069448,0.0001527782271255046,0.00015508408409479026
04843,0.0004429661913318296,0.0004350455253111411,0.0004810699478723474,0.00047500760012160194,0.0005177127826863332,0.0005258142715374019,0.0005146796548457163,0.0005222117985734987,0.000534496853349667,0.000525440266929435,0.0005308546712338996,0.0005385821302065119,0.0005457436253455825,0.0005358963595244061,0.0005785025102709897,0.0005769394246120872,0.0005629262931372866,0.0005665225569173827,0.0005696205998177945,0.0005944647616264374,0.0006019505556815605,0.0006207665219571785,0.0006839892574251816,0.00068191714321574,0.0006753176166859161,0.0007678766761081693,0.0007847840599223815,0.0007885582594352149
05680,0.00010659333045531341,9.824528745795489e-05,0.00010042277990339329,9.759787236638241e-05,9.967392387760042e-05,9.470943837303045e-05,9.675270907585412e-05,0.000118431181614217,0.00014759674003722004,0.00015656998991689264,0.00016104438301654478,0.00013145394033186147,0.0001343442249506431,0.00014853323431117713,0.0001490690636972109,0.00019701090674269827,0.00014650129885907648,0.00011203481481870492,0.00011496619650640035,9.927495629377983e-05,9.531613183726025e-05,0.00010137740314303187,0.0001090163095006062,0.00012477118442330267,0.00012564925581372578,0.00012651678212674712,0.00011931250201541388,0.00012501562695336918
05869,0.0005313358560986988,0.0004946757270431409,0.0005099905847892039,0.0004991789819376026,0.0005014581876245398,0.0005435286943380218,0.0005593586021362171,0.000602087235750602,0.0006183294351695029,0.000607713915298185,0.000678416846447131,0.0006816167950378297,0.0008218164883781452,0.0007018799372436762,0.0006637535261906078,0.0006947339169098235,0.0006562137860743057,0.0006593992451983108,0.000662615781534167,0.0008642062761209889,0.0008383897233313912,0.0008409110344630997,0.0008434475561464453,0.0008890290941940664,0.0008917270739845817,0.0007501767243244802,0.0007524781130164242,0.0007547827096699277
06058,0.0001064258401939991,0.00011328535069368397,0.00011255261834907819,0.00011182930375075484,0.00011111522648986999,0.0001251324932281239,0.00012434353925598677,0.00012356447158017153,0.00012279510553155835,0.00012203526101188766,0.00012842007633860093,0.00012763513369780255,0.00011981196569149123,0.0001190884827426778,0.00011837368483354571,0.00011766823096197239,0.00011697033081961798,0.00011628066047415149,0.00011559907520739834,0.00011492543367450413,0.00012179114172429192,0.00012189588736820006,0.0001220008133387556,0.0001221067484329634,0.00012221203788573176,0.0001223175090718819,0.0001224239951030402,0.00012252983261063424
06652,0.0006994352060710976,0.0006810178725666068,0.0006643572343757414,0.0008454872120059184,0.0009819636384640934,0.0009686704306431972,0.0009033063669814955,0.0008940659565228498,0.0008732120675447982,0.0007589772781177364,0.0007556848107353043,0.000741535975562516,0.0013173678348042156,0.0007262691553489723,0.000764602909515282,0.0007811508304609767,0.0007682968471373829,0.0007653790470569792,0.0009420588921387428,0.0008997754929109921,0.0008108830861865204,0.0008264181164482765,0.0008163334006597993,0.0008979422157555601,0.0008790233803788836,0.0008199649282327726,0.0009067056095388639,0.0009042093323921096
