UACE,NAME,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,
20476,"Coshocton, OH"," 12,334 "," 6,012 "," 20,227,058 ", 7.81 ," 155,354 ", 0.06 ," 1,579.32 ",
20503,"Cottage Grove, OR"," 11,826 "," 4,816 "," 13,593,000 ", 5.25 ," 177,162 ", 0.07 ," 2,253.31 ",
20595,"Cottonwood (Yavapai County)--Verde Village, AZ"," 29,121 "," 13,877 "," 43,787,055 ", 16.91 ,0.00,0.00," 1,722.50 ",
20719,"Covington, TN"," 7,320 "," 3,335 "," 15,533,524 ", 6.00 ,0.00,0.00," 1,220.50 ",
20746,"Covington, VA"," 7,745 "," 4,051 "," 18,976,990 ", 7.33 ," 595,459 ", 0.23 ," 1,057.04 ",
20773,"Coxsackie, NY"," 5,384 "," 1,685 "," 9,745,358 ", 3.76 ," 37,258 ", 0.01 ," 1,430.89 ",
20827,"Craig, CO"," 9,650 "," 4,288 "," 14,247,448 ", 5.50 ,0.00,0.00," 1,754.24 ",
20881,"Crawfordsville, IN"," 17,863 "," 8,008 "," 25,306,177 ", 9.77 ," 77,556 ", 0.03 ," 1,828.21 ",
20890,"Crawfordville, FL"," 10,124 "," 3,912 "," 25,172,054 ", 9.72 ,0.00,0.00," 1,041.67 ",
20899,"Creedmoor, NC"," 7,482 "," 3,022 "," 17,587,508 ", 6.79 ," 84,991 ", 0.03 ," 1,101.82 ",
20908,"Crescent City, CA"," 15,620 "," 6,674 "," 42,311,248 ", 16.34 ," 226,006 ", 0.09 , 956.14 ,
20980,"Cresson, PA"," 6,512 "," 3,002 "," 10,052,866 ", 3.88 ,0.00,0.00," 1,677.73 ",
20985,"Crestline, OH"," 4,597 "," 2,213 "," 8,238,992 ", 3.18 ," 13,768 ", 0.01 ," 1,445.10 ",
20989,"Crestline--Lake Arrowhead, CA"," 22,272 "," 17,901 "," 43,643,846 ", 16.85 ," 3,478,474 ", 1.34 ," 1,321.70 ",
21016,"Creston, IA"," 7,507 "," 3,668 "," 11,693,544 ", 4.51 ," 4,916 ", 0.00 ," 1,662.72 ",
21043,"Crestview, FL"," 46,816 "," 18,409 "," 103,195,003 ", 39.84 ," 1,796,281 ", 0.69 ," 1,174.99 ",
21070,"Creswell, OR"," 6,137 "," 2,358 "," 6,328,496 ", 2.44 ," 42,826 ", 0.02 ," 2,511.62 ",
21097,"Crete, NE"," 6,959 "," 2,411 "," 6,741,838 ", 2.60 ," 80,171 ", 0.03 ," 2,673.41 ",
21151,"Crisfield, MD"," 3,509 "," 2,036 "," 6,963,110 ", 2.69 ," 396,409 ", 0.15 ," 1,305.20 ",
21205,"Crockett, TX"," 5,935 "," 2,826 "," 16,989,948 ", 6.56 ,0.00,0.00, 904.75 ,
21232,"Crookston, MN"," 7,618 "," 3,441 "," 12,039,712 ", 4.65 ,0.00,0.00," 1,638.79 ",
21340,"Crossett, AR"," 7,184 "," 3,550 "," 23,335,570 ", 9.01 ," 470,878 ", 0.18 , 797.34 ,
21394,"Crossville, TN"," 19,949 "," 9,868 "," 69,413,715 ", 26.80 ," 3,012,365 ", 1.16 , 744.34 ,
21421,"Crowley, LA"," 13,168 "," 6,429 "," 18,349,470 ", 7.08 ," 17,630 ", 0.01 ," 1,858.63 ",
21448,"Crozet, VA"," 9,378 "," 3,779 "," 11,622,504 ", 4.49 ," 68,900 ", 0.03 ," 2,089.82 ",
21475,"Cruz Bay, VI"," 2,964 "," 2,681 "," 8,045,975 ", 3.11 ," 45,755 ", 0.02 , 954.11 ,
21502,"Crystal City, TX"," 6,709 "," 2,670 "," 9,172,766 ", 3.54 ," 11,147 ", 0.00 ," 1,894.33 ",
21529,"Crystal River, FL"," 7,834 "," 4,847 "," 36,480,222 ", 14.09 ," 2,979,925 ", 1.15 , 556.19 ,
21556,"Crystal Springs, MS"," 5,057 "," 2,151 "," 10,245,447 ", 3.96 ," 25,197 ", 0.01 ," 1,278.38 ",
21610,"Cuero, TX"," 7,619 "," 3,020 "," 11,304,553 ", 4.36 ," 45,653 ", 0.02 ," 1,745.59 ",
21637,"Cullman, AL"," 21,165 "," 9,371 "," 55,661,380 ", 21.49 ," 455,574 ", 0.18 , 984.83 ,
21664,"Cullowhee, NC"," 9,134 "," 3,147 "," 15,791,969 ", 6.10 ,0.00,0.00," 1,498.04 ",
21691,"Culpeper, VA"," 22,563 "," 8,059 "," 24,269,595 ", 9.37 ," 64,317 ", 0.02 ," 2,407.86 ",
21745,"Cumberland, MD--WV--PA"," 46,296 "," 22,834 "," 82,089,280 ", 31.69 ," 680,362 ", 0.26 ," 1,460.68 ",
21772,"Cushing, OK"," 6,595 "," 3,332 "," 24,117,087 ", 9.31 ," 30,090 ", 0.01 , 708.25 ,
21853,"Cynthiana, KY"," 6,393 "," 2,952 "," 7,740,229 ", 2.99 ," 143,012 ", 0.06 ," 2,139.19 ",
21893,"Dade City, FL"," 20,304 "," 7,856 "," 37,288,780 ", 14.40 ," 973,310 ", 0.38 ," 1,410.27 ",
21934,"Dahlonega, GA"," 6,508 "," 1,403 "," 8,151,821 ", 3.15 , 249 , 0.00 ," 2,067.71 ",
21988,"Dalhart, TX"," 8,352 "," 3,489 "," 9,061,417 ", 3.50 ," 4,719 ", 0.00 ," 2,387.22 ",
22015,"Dallas, OR"," 17,625 "," 7,189 "," 14,233,477 ", 5.50 ,0.00,0.00," 3,207.12 ",
22042,"Dallas--Fort Worth--Arlington, TX"," 5,732,354 "," 2,243,270 "," 4,524,441,010 "," 1,746.90 "," 64,147,875 ", 24.77 ," 3,281.45 ",
22069,"Dalton, GA"," 67,830 "," 25,333 "," 148,895,536 ", 57.49 ," 200,226 ", 0.08 ," 1,179.88 ",
22096,"Danbury, CT--NY"," 171,680 "," 68,643 "," 306,884,173 ", 118.49 ," 15,585,535 ", 6.02 ," 1,448.92 ",
22177,"Dansville, NY"," 4,806 "," 2,321 "," 8,275,503 ", 3.20 ,0.00,0.00," 1,504.14 ",
22204,"Danville, IL"," 40,044 "," 18,786 "," 71,985,501 ", 27.79 ," 2,231,770 ", 0.86 ," 1,440.76 ",
22231,"Danville, KY"," 19,814 "," 8,752 "," 35,260,301 ", 13.61 ," 135,784 ", 0.05 ," 1,455.41 ",
22253,"Danville, VA--NC"," 46,683 "," 24,055 "," 94,048,065 ", 36.31 ," 1,443,948 ", 0.56 ," 1,285.60 ",
22260,"Danville--Mahoning, PA"," 9,771 "," 4,698 "," 13,499,941 ", 5.21 ," 44,129 ", 0.02 ," 1,874.58 ",
22366,"Davenport, IA--IL"," 285,211 "," 130,167 "," 349,283,232 ", 134.86 ," 19,693,324 ", 7.60 ," 2,114.88 ",
22420,"Davis, CA"," 77,034 "," 29,345 "," 31,500,260 ", 12.16 ," 90,331 ", 0.03 ," 6,333.83 ",
22528,"Dayton, OH"," 674,046 "," 308,659 "," 828,517,063 ", 319.89 ," 6,799,497 ", 2.63 ," 2,107.10 ",
22555,"Dayton, TN"," 9,688 "," 4,259 "," 23,619,178 ", 9.12 ," 613,490 ", 0.24 ," 1,062.35 ",
22582,"Dayton, TX"," 6,879 "," 2,908 "," 14,002,995 ", 5.41 ,0.00,0.00," 1,272.34 ",
22612,"Daytona Beach--Palm Coast--Port Orange, FL"," 402,126 "," 216,962 "," 550,006,605 ", 212.36 ," 31,608,090 ", 12.20 ," 1,893.62 ",
22616,"Dayton Northeast, NV"," 6,248 "," 2,375 "," 9,942,625 ", 3.84 ,0.00,0.00," 1,627.56 ",
22622,"Dayton Southwest, NV"," 7,547 "," 3,184 "," 11,650,600 ", 4.50 ," 3,839 ", 0.00 ," 1,677.74 ",
22690,"Decatur, AL"," 60,458 "," 26,455 "," 112,586,219 ", 43.47 ," 1,051,392 ", 0.41 ," 1,390.81 ",
22717,"Decatur, IL"," 86,287 "," 42,057 "," 142,726,115 ", 55.11 ," 7,596,199 ", 2.93 ," 1,565.81 ",
22744,"Decatur, IN"," 10,441 "," 4,820 "," 16,986,883 ", 6.56 ," 16,644 ", 0.01 ," 1,591.94 ",
22771,"Decatur, TX"," 6,486 "," 2,608 "," 16,051,644 ", 6.20 ,0.00,0.00," 1,046.54 ",
22798,"Decorah, IA"," 7,993 "," 3,384 "," 13,456,481 ", 5.20 ," 111,964 ", 0.04 ," 1,538.42 ",
22811,"Dededo--Apotgan--Tamuning, GU"," 128,164 "," 43,957 "," 142,866,110 ", 55.16 ,0.00,0.00," 2,323.46 ",
22879,"Defiance, OH"," 17,775 "," 7,987 "," 32,034,755 ", 12.37 ," 1,386,916 ", 0.54 ," 1,437.10 ",
22933,"DeFuniak Springs, FL"," 6,977 "," 3,065 "," 18,569,808 ", 7.17 ," 691,086 ", 0.27 , 973.10 ,
22960,"DeKalb, IL"," 64,736 "," 26,985 "," 66,387,396 ", 25.63 ," 626,929 ", 0.24 ," 2,525.56 ",
22987,"Delano, CA"," 44,410 "," 11,713 "," 19,076,298 ", 7.37 ,0.00,0.00," 6,029.54 ",
22995,"Delano, MN"," 6,178 "," 2,307 "," 8,010,938 ", 3.09 ,0.00,0.00," 1,997.39 ",
23041,"Delavan, WI"," 12,354 "," 6,703 "," 23,555,903 ", 9.09 ," 7,135,101 ", 2.75 ," 1,358.33 ",
23080,"Delhi, CA"," 10,274 "," 2,730 "," 6,061,316 ", 2.34 ,0.00,0.00," 4,390.06 ",
23176,"Delphos, OH"," 7,266 "," 3,242 "," 8,901,554 ", 3.44 ," 73,578 ", 0.03 ," 2,114.11 ",
23203,"Del Rio, TX"," 42,680 "," 15,789 "," 48,712,813 ", 18.81 ," 215,425 ", 0.08 ," 2,269.23 ",
23230,"Delta, CO"," 8,190 "," 3,553 "," 16,126,572 ", 6.23 ," 129,608 ", 0.05 ," 1,315.34 ",
23311,"Deltona, FL"," 210,712 "," 86,104 "," 282,265,175 ", 108.98 ," 12,579,177 ", 4.86 ," 1,933.44 ",
23338,"Deming, NM"," 14,913 "," 6,492 "," 21,230,088 ", 8.20 ,0.00,0.00," 1,819.33 ",
23365,"Demopolis, AL"," 6,227 "," 2,986 "," 11,781,694 ", 4.55 ," 82,368 ", 0.03 ," 1,368.89 ",
23419,"Denison, IA"," 8,142 "," 3,000 "," 11,637,914 ", 4.49 ," 23,959 ", 0.01 ," 1,811.98 ",
23473,"Denton, MD"," 5,009 "," 1,941 "," 8,458,496 ", 3.27 ," 92,599 ", 0.04 ," 1,533.75 ",
23500,"Denton--Lewisville, TX"," 429,461 "," 166,497 "," 389,741,508 ", 150.48 ," 4,912,786 ", 1.90 ," 2,853.94 ",
23513,"Denton Southwest, TX"," 14,105 "," 5,719 "," 18,291,464 ", 7.06 ," 64,122 ", 0.02 ," 1,997.20 ",
23527,"Denver--Aurora, CO"," 2,686,147 "," 1,125,043 "," 1,669,352,291 ", 644.54 ," 29,334,833 ", 11.33 ," 4,167.54 ",
23608,"De Queen, AR"," 5,894 "," 2,163 "," 12,462,732 ", 4.81 ," 50,899 ", 0.02 ," 1,224.88 ",
23662,"DeRidder, LA"," 12,126 "," 5,563 "," 37,627,641 ", 14.53 ," 224,195 ", 0.09 , 834.66 ,
23716,"Desert Hot Springs, CA"," 45,767 "," 18,838 "," 36,465,259 ", 14.08 ,0.00,0.00," 3,250.66 ",
23743,"Des Moines, IA"," 542,486 "," 232,461 "," 582,080,584 ", 224.74 ," 7,226,317 ", 2.79 ," 2,413.81 ",
23797,"De Soto, MO"," 7,649 "," 3,440 "," 11,394,754 ", 4.40 ," 363,295 ", 0.14 ," 1,738.59 ",
23824,"Detroit, MI"," 3,776,890 "," 1,647,476 "," 3,327,686,104 "," 1,284.83 "," 87,241,053 ", 33.68 ," 2,939.61 ",
23851,"Detroit Lakes, MN"," 10,234 "," 5,956 "," 23,834,267 ", 9.20 ," 25,717,335 ", 9.93 ," 1,112.09 ",
23878,"Devils Lake, ND"," 7,493 "," 3,787 "," 13,136,265 ", 5.07 ," 14,898 ", 0.01 ," 1,477.34 ",
23986,"DeWitt, IA"," 5,162 "," 2,250 "," 10,370,231 ", 4.00 ,0.00,0.00," 1,289.22 ",
24008,"Dexter, MI"," 5,285 "," 2,155 "," 6,459,898 ", 2.49 ," 3,796 ", 0.00 ," 2,118.93 ",
24013,"Dexter, MO"," 9,635 "," 4,675 "," 20,056,904 ", 7.74 ," 243,643 ", 0.09 ," 1,244.19 ",
24040,"Diamondhead, MS"," 9,044 "," 4,380 "," 13,122,331 ", 5.07 ," 224,519 ", 0.09 ," 1,785.04 ",
24094,"Dickinson, ND"," 25,674 "," 11,897 "," 31,747,884 ", 12.26 ," 199,866 ", 0.08 ," 2,094.48 ",
24121,"Dickson, TN"," 16,543 "," 7,239 "," 42,607,380 ", 16.45 ," 163,237 ", 0.06 ," 1,005.60 ",
24175,"Dillon, MT"," 4,429 "," 2,221 "," 7,115,148 ", 2.75 ,0.00,0.00," 1,612.20 ",
24202,"Dillon, SC"," 8,484 "," 3,955 "," 16,395,248 ", 6.33 ," 111,569 ", 0.04 ," 1,340.23 ",
24256,"Discovery Bay, CA"," 15,939 "," 6,271 "," 10,883,779 ", 4.20 ," 2,879,325 ", 1.11 ," 3,792.97 ",
24283,"Dixon, CA"," 18,876 "," 6,524 "," 11,382,169 ", 4.39 ," 6,653 ", 0.00 ," 4,295.19 ",
24310,"Dixon, IL"," 15,987 "," 6,712 "," 20,246,217 ", 7.82 ," 996,920 ", 0.38 ," 2,045.13 ",
24337,"Dodge City, KS"," 27,702 "," 9,853 "," 28,277,230 ", 10.92 ," 332,221 ", 0.13 ," 2,537.30 ",
24364,"Dodgeville, WI"," 4,898 "," 2,199 "," 8,430,135 ", 3.25 ,0.00,0.00," 1,504.81 ",
24391,"Donaldsonville, LA"," 12,461 "," 5,596 "," 40,529,779 ", 15.65 ," 1,506,152 ", 0.58 , 796.30 ,
24445,"Dos Palos, CA"," 7,721 "," 2,340 "," 5,938,663 ", 2.29 ,0.00,0.00," 3,367.31 ",
24472,"Dothan, AL"," 72,423 "," 33,948 "," 142,674,706 ", 55.09 ," 387,556 ", 0.15 ," 1,314.70 ",
24499,"Douglas, AZ"," 16,582 "," 6,504 "," 14,195,977 ", 5.48 ,0.00,0.00," 3,025.31 ",
24526,"Douglas, GA"," 14,258 "," 6,099 "," 42,977,840 ", 16.59 ," 537,942 ", 0.21 , 859.23 ,
24539,"Douglas, MI"," 3,259 "," 2,651 "," 10,961,033 ", 4.23 ," 1,401,554 ", 0.54 , 770.07 ,
24553,"Douglas, WY"," 6,498 "," 3,120 "," 8,493,607 ", 3.28 ,0.00,0.00," 1,981.46 ",
24580,"Dover, DE"," 123,101 "," 48,756 "," 187,266,900 ", 72.30 ," 2,683,061 ", 1.04 ," 1,702.54 ",
24607,"Dover--Rochester, NH--ME"," 72,391 "," 33,561 "," 135,487,667 ", 52.31 ," 2,690,766 ", 1.04 ," 1,383.83 ",
24634,"Dowagiac, MI"," 5,896 "," 2,689 "," 9,212,192 ", 3.56 ," 121,550 ", 0.05 ," 1,657.65 ",
24715,"Dublin, GA"," 20,842 "," 9,337 "," 52,916,176 ", 20.43 ," 425,312 ", 0.16 ," 1,020.11 ",
24796,"DuBois, PA"," 11,656 "," 5,625 "," 18,542,455 ", 7.16 ," 143,022 ", 0.06 ," 1,628.10 ",
24823,"Dubuque, IA--IL"," 70,332 "," 31,475 "," 88,492,622 ", 34.17 ," 227,949 ", 0.09 ," 2,058.47 ",
24850,"Duluth, MN--WI"," 119,411 "," 55,048 "," 173,182,698 ", 66.87 ," 12,812,572 ", 4.95 ," 1,785.82 ",
24877,"Dumas, AR"," 4,308 "," 2,143 "," 8,046,385 ", 3.11 ,0.00,0.00," 1,386.67 ",
24904,"Dumas, TX"," 14,639 "," 5,632 "," 12,787,571 ", 4.94 ,0.00,0.00," 2,964.98 ",
24931,"Duncan, OK"," 20,353 "," 10,118 "," 35,251,156 ", 13.61 ," 166,641 ", 0.06 ," 1,495.38 ",
24958,"Dundee, MI"," 5,252 "," 2,314 "," 10,104,534 ", 3.90 ," 95,995 ", 0.04 ," 1,346.19 ",
25012,"Dunkirk--Fredonia, NY"," 23,410 "," 10,746 "," 33,031,000 ", 12.75 ," 117,554 ", 0.05 ," 1,835.60 ",
25039,"Dunn, NC"," 13,707 "," 6,504 "," 28,778,425 ", 11.11 ," 136,962 ", 0.05 ," 1,233.60 ",
25093,"Du Quoin, IL"," 5,933 "," 2,969 "," 10,516,647 ", 4.06 ," 53,516 ", 0.02 ," 1,461.15 ",
25120,"Durand, MI"," 5,056 "," 2,354 "," 9,790,978 ", 3.78 ," 123,539 ", 0.05 ," 1,337.45 ",
25147,"Durango, CO"," 19,114 "," 9,232 "," 24,477,902 ", 9.45 ," 85,392 ", 0.03 ," 2,022.44 ",
25201,"Durant, OK"," 19,324 "," 8,259 "," 31,095,467 ", 12.01 ," 41,673 ", 0.02 ," 1,609.52 ",
25216,"Durham, NH"," 12,117 "," 2,548 "," 10,453,067 ", 4.04 ," 63,609 ", 0.02 ," 3,002.27 ",
25228,"Durham, NC"," 396,118 "," 173,410 "," 474,887,900 ", 183.36 ," 3,384,320 ", 1.31 ," 2,160.39 ",
25237,"Duvall, WA"," 8,165 "," 2,840 "," 6,406,787 ", 2.47 ," 3,707 ", 0.00 ," 3,300.76 ",
25309,"Dyersburg, TN"," 16,790 "," 7,674 "," 33,607,141 ", 12.98 ," 227,443 ", 0.09 ," 1,293.95 ",
25390,"Eagle, CO"," 7,419 "," 2,640 "," 8,821,345 ", 3.41 ," 45,496 ", 0.02 ," 2,178.25 ",
25480,"Eagle Mountain, UT"," 10,269 "," 2,550 "," 5,234,338 ", 2.02 ,0.00,0.00," 5,081.17 ",
25498,"Eagle Pass, TX"," 54,083 "," 18,705 "," 54,765,192 ", 21.14 ," 364,285 ", 0.14 ," 2,557.73 ",
25579,"Earlimart, CA"," 7,470 "," 1,883 "," 3,496,392 ", 1.35 ,0.00,0.00," 5,533.48 ",
25598,"East Aurora, NY"," 8,765 "," 3,997 "," 15,070,063 ", 5.82 ," 43,792 ", 0.02 ," 1,506.38 ",
25658,"East Hampton North--Springs--Northwest Harbor, NY"," 21,812 "," 15,022 "," 92,856,914 ", 35.85 ," 5,870,108 ", 2.27 , 608.39 ,
25687,"East Liverpool, OH--WV--PA"," 21,126 "," 10,424 "," 40,213,217 ", 15.53 ," 1,629,926 ", 0.63 ," 1,360.65 ",
25714,"Eastman, GA"," 6,220 "," 2,778 "," 15,441,436 ", 5.96 ," 185,369 ", 0.07 ," 1,043.28 ",
25741,"Easton, MD"," 18,033 "," 8,357 "," 28,877,915 ", 11.15 ," 343,472 ", 0.13 ," 1,617.33 ",
25768,"East Palestine, OH"," 4,634 "," 2,085 "," 7,528,284 ", 2.91 ,0.00,0.00," 1,594.25 ",
25849,"East Stroudsburg--Stroudsburg, PA"," 47,891 "," 19,080 "," 100,846,909 ", 38.94 ," 815,695 ", 0.31 ," 1,229.95 ",
25876,"East Tawas, MI"," 4,844 "," 3,004 "," 12,962,372 ", 5.00 ,0.00,0.00, 967.87 ,
25903,"East Troy, WI"," 5,309 "," 2,453 "," 10,726,094 ", 4.14 ," 1,653,078 ", 0.64 ," 1,281.94 ",
25930,"Eaton, CO"," 5,823 "," 2,174 "," 5,595,173 ", 2.16 ,0.00,0.00," 2,695.45 ",
25957,"Eaton, OH"," 8,067 "," 3,860 "," 11,638,626 ", 4.49 ," 1,810 ", 0.00 ," 1,795.18 ",
25984,"Eaton Rapids, MI"," 5,076 "," 2,314 "," 7,263,886 ", 2.80 ," 143,061 ", 0.06 ," 1,809.88 ",
26038,"Eau Claire, WI"," 105,475 "," 46,055 "," 161,862,928 ", 62.50 ," 10,233,969 ", 3.95 ," 1,687.72 ",
26065,"Ebensburg, PA"," 4,880 "," 2,350 "," 6,706,721 ", 2.59 ," 31,708 ", 0.01 ," 1,884.55 ",
26092,"Eden, NC"," 16,323 "," 8,197 "," 36,869,368 ", 14.24 ," 42,294 ", 0.02 ," 1,146.65 ",
26119,"Edenton, NC"," 4,329 "," 2,361 "," 9,287,029 ", 3.59 ," 178,962 ", 0.07 ," 1,207.28 ",
26173,"Edgerton, WI"," 8,360 "," 4,277 "," 16,032,838 ", 6.19 ," 495,146 ", 0.19 ," 1,350.50 ",
26227,"Edinboro, PA"," 5,730 "," 2,627 "," 6,312,077 ", 2.44 ," 194,847 ", 0.08 ," 2,351.15 ",
26254,"Edna, TX"," 5,910 "," 2,619 "," 9,569,304 ", 3.69 ,0.00,0.00," 1,599.58 ",
26275,"Edwards--Avon, CO"," 16,518 "," 11,151 "," 30,052,310 ", 11.60 ," 584,367 ", 0.23 ," 1,423.57 ",
26308,"Effingham, IL"," 13,990 "," 6,588 "," 35,160,390 ", 13.58 ," 75,129 ", 0.03 ," 1,030.53 ",
26362,"Elberton, GA"," 5,700 "," 2,770 "," 13,004,624 ", 5.02 ," 70,348 ", 0.03 ," 1,135.21 ",
26375,"Elburn, IL"," 6,395 "," 2,334 "," 9,232,591 ", 3.56 ,0.00,0.00," 1,793.97 ",
26389,"El Campo, TX"," 13,286 "," 5,171 "," 20,274,190 ", 7.83 ," 19,527 ", 0.01 ," 1,697.26 ",
26405,"El Centro, CA"," 74,376 "," 24,115 "," 50,120,900 ", 19.35 ," 45,518 ", 0.02 ," 3,843.37 ",
26422,"Eldersburg, MD"," 30,486 "," 11,346 "," 47,603,413 ", 18.38 ," 474,049 ", 0.18 ," 1,658.67 ",
26443,"Eldon, MO"," 4,513 "," 2,168 "," 8,645,172 ", 3.34 ,0.00,0.00," 1,352.04 ",
26470,"El Dorado, AR"," 18,698 "," 8,867 "," 52,478,274 ", 20.26 ,0.00,0.00, 922.81 ,
26524,"El Dorado, KS"," 12,774 "," 5,819 "," 19,285,859 ", 7.45 ," 20,061 ", 0.01 ," 1,715.48 ",
26659,"Elgin, TX"," 10,779 "," 3,823 "," 12,346,592 ", 4.77 ,0.00,0.00," 2,261.15 ",
26686,"Elizabeth City, NC"," 22,834 "," 10,393 "," 42,775,666 ", 16.52 ," 23,115 ", 0.01 ," 1,382.56 ",
26750,"Elizabethtown--Radcliff, KY"," 76,441 "," 32,896 "," 144,587,421 ", 55.83 ," 1,299,087 ", 0.50 ," 1,369.28 ",
26767,"Elk City, OK"," 11,124 "," 5,740 "," 23,342,372 ", 9.01 ,0.00,0.00," 1,234.28 ",
26794,"Elkhart, IN--MI"," 148,199 "," 59,094 "," 245,890,129 ", 94.94 ," 8,088,284 ", 3.12 ," 1,561.00 ",
26821,"Elkhorn, WI"," 11,876 "," 5,034 "," 17,973,247 ", 6.94 ," 144,932 ", 0.06 ," 1,711.36 ",
26875,"Elkins, WV"," 11,109 "," 5,395 "," 18,442,398 ", 7.12 ,0.00,0.00," 1,560.11 ",
26902,"Elko, NV"," 21,695 "," 9,136 "," 32,529,312 ", 12.56 ,0.00,0.00," 1,727.36 ",
26956,"Elkton, VA"," 5,032 "," 2,933 "," 12,446,028 ", 4.81 ," 63,976 ", 0.02 ," 1,047.15 ",
26983,"Ellensburg, WA"," 21,518 "," 10,092 "," 22,894,467 ", 8.84 ," 55,313 ", 0.02 ," 2,434.27 ",
27010,"Ellenville, NY"," 7,090 "," 2,648 "," 8,555,617 ", 3.30 ," 77,769 ", 0.03 ," 2,146.31 ",
27037,"Ellijay, GA"," 6,738 "," 3,738 "," 34,217,672 ", 13.21 ," 291,044 ", 0.11 , 510.01 ,
27085,"Ellwood City, PA"," 13,155 "," 6,342 "," 19,061,495 ", 7.36 ," 322,979 ", 0.12 ," 1,787.44 ",
27118,"Elmira, NY"," 62,468 "," 29,533 "," 82,097,640 ", 31.70 ," 1,180,585 ", 0.46 ," 1,970.72 ",
27253,"El Paso, TX--NM"," 854,584 "," 315,198 "," 662,734,881 ", 255.88 ," 2,555,915 ", 0.99 ," 3,339.74 ",
27261,"El Paso de Robles (Paso Robles)--Atascadero, CA"," 67,804 "," 27,041 "," 77,603,788 ", 29.96 ," 114,779 ", 0.04 ," 2,262.92 ",
27280,"El Reno, OK"," 14,346 "," 6,252 "," 22,571,973 ", 8.72 ," 12,473 ", 0.00 ," 1,646.11 ",
27290,"Elsa, TX"," 12,984 "," 4,221 "," 16,201,322 ", 6.26 ,0.00,0.00," 2,075.66 ",
27307,"Elwood, IN"," 9,199 "," 4,448 "," 11,996,702 ", 4.63 ,0.00,0.00," 1,985.99 ",
27361,"Ely, NV"," 4,455 "," 2,284 "," 8,018,080 ", 3.10 ,0.00,0.00," 1,439.05 ",
27469,"Emmett, ID"," 10,173 "," 4,191 "," 14,841,901 ", 5.73 ," 204,462 ", 0.08 ," 1,775.24 ",
27523,"Emporia, KS"," 24,082 "," 11,224 "," 28,974,487 ", 11.19 ," 210,549 ", 0.08 ," 2,152.66 ",
27550,"Emporia, VA"," 6,871 "," 3,067 "," 16,944,802 ", 6.54 ," 153,998 ", 0.06 ," 1,050.22 ",
27631,"Enid, OK"," 50,194 "," 22,482 "," 76,371,567 ", 29.49 ," 37,260 ", 0.01 ," 1,702.23 ",
27658,"Ennis, TX"," 19,763 "," 7,195 "," 32,161,351 ", 12.42 ," 904,179 ", 0.35 ," 1,591.54 ",
27685,"Enterprise, AL"," 31,258 "," 13,725 "," 61,504,880 ", 23.75 ," 151,495 ", 0.06 ," 1,316.28 ",
27712,"Ephraim, UT"," 5,049 "," 1,680 "," 4,521,315 ", 1.75 ,0.00,0.00," 2,892.27 ",
27739,"Ephrata, WA"," 8,050 "," 3,210 "," 11,064,057 ", 4.27 ,0.00,0.00," 1,884.43 ",
27766,"Erie, PA"," 187,820 "," 85,013 "," 189,948,084 ", 73.34 ," 595,822 ", 0.23 ," 2,560.97 ",
27793,"Erwin, TN"," 8,678 "," 4,077 "," 15,347,733 ", 5.93 ," 12,216 ", 0.00 ," 1,464.45 ",
27820,"Escalon, CA"," 7,480 "," 2,723 "," 5,148,439 ", 1.99 ,0.00,0.00," 3,762.91 ",
27847,"Escanaba, MI"," 21,159 "," 10,444 "," 46,782,957 ", 18.06 ," 415,095 ", 0.16 ," 1,171.40 ",
27874,"Española, NM"," 23,931 "," 10,382 "," 52,155,628 ", 20.14 ," 422,050 ", 0.16 ," 1,188.39 ",
27901,"Estacada, OR"," 5,267 "," 1,992 "," 7,746,329 ", 2.99 ," 16,758 ", 0.01 ," 1,761.02 ",
27928,"Estes Park, CO"," 7,907 "," 6,112 "," 31,468,729 ", 12.15 ," 701,256 ", 0.27 , 650.77 ,
27955,"Estherville, IA"," 5,774 "," 2,675 "," 8,936,595 ", 3.45 ,0.00,0.00," 1,673.41 ",
28009,"Etowah, TN"," 4,513 "," 2,158 "," 11,668,955 ", 4.51 ,0.00,0.00," 1,001.68 ",
28063,"Eudora, KS"," 6,400 "," 2,419 "," 6,785,190 ", 2.62 ," 109,922 ", 0.04 ," 2,442.96 ",
28090,"Eufaula, AL--GA"," 9,184 "," 4,482 "," 18,010,672 ", 6.95 ," 28,095 ", 0.01 ," 1,320.69 ",
28117,"Eugene, OR"," 270,179 "," 116,321 "," 190,326,261 ", 73.49 ," 164,467 ", 0.06 ," 3,676.64 ",
28144,"Eunice, LA"," 10,510 "," 4,863 "," 18,473,203 ", 7.13 ," 78,619 ", 0.03 ," 1,473.53 ",
28198,"Eureka, CA"," 45,951 "," 20,603 "," 48,677,864 ", 18.79 ," 3,777,810 ", 1.46 ," 2,444.90 ",
28225,"Eureka, IL"," 5,401 "," 2,216 "," 6,532,024 ", 2.52 ," 124,341 ", 0.05 ," 2,141.53 ",
28262,"Eureka, MO"," 14,027 "," 4,870 "," 24,177,257 ", 9.33 ," 43,957 ", 0.02 ," 1,502.64 ",
28306,"Evanston, WY"," 11,416 "," 5,057 "," 19,875,338 ", 7.67 ," 114,902 ", 0.04 ," 1,487.64 ",
