UACE,NAME,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,
01171,"Albuquerque, NM"," 769,837 "," 335,464 "," 681,352,326 ", 263.07 ," 6,964,855 ", 2.69 ," 2,926.34 ",
01252,"Alexander City, AL"," 8,920 "," 4,428 "," 25,354,836 ", 9.79 ," 35,945 ", 0.01 , 911.18 ,
01273,"Alexandria, IN"," 6,140 "," 2,955 "," 9,853,044 ", 3.80 ," 11,855 ", 0.00 ," 1,613.97 ",
01279,"Alexandria, LA"," 78,305 "," 35,538 "," 167,600,150 ", 64.71 ," 1,851,472 ", 0.71 ," 1,210.08 ",
01306,"Alexandria, MN"," 18,957 "," 9,895 "," 58,462,308 ", 22.57 ," 18,928,970 ", 7.31 , 839.83 ,
01387,"Algona, IA"," 5,443 "," 2,684 "," 8,681,037 ", 3.35 ," 16,085 ", 0.01 ," 1,623.92 ",
01414,"Alice, TX"," 19,413 "," 7,966 "," 25,980,592 ", 10.03 ,0.00,0.00," 1,935.27 ",
01441,"Allegan, MI"," 7,247 "," 3,137 "," 17,817,488 ", 6.88 ," 2,275,950 ", 0.88 ," 1,053.44 ",
01450,"Allendale, MI"," 25,094 "," 8,006 "," 27,311,451 ", 10.55 ," 158,913 ", 0.06 ," 2,379.70 ",
01495,"Allentown--Bethlehem, PA--NJ"," 621,703 "," 251,480 "," 677,400,838 ", 261.55 ," 9,302,819 ", 3.59 ," 2,377.03 ",
01522,"Alliance, NE"," 8,119 "," 3,956 "," 12,704,963 ", 4.91 ," 31,691 ", 0.01 ," 1,655.11 ",
01549,"Alliance, OH"," 30,944 "," 14,282 "," 44,687,294 ", 17.25 ," 230,974 ", 0.09 ," 1,793.45 ",
01630,"Alma--St. Louis, MI"," 17,417 "," 5,455 "," 23,400,576 ", 9.04 ," 551,837 ", 0.21 ," 1,927.72 ",
01684,"Alpena, MI"," 15,425 "," 8,062 "," 32,915,693 ", 12.71 ," 1,992,202 ", 0.77 ," 1,213.72 ",
01701,"Alpine, CA"," 13,307 "," 5,022 "," 25,499,890 ", 9.85 ," 1,475 ", 0.00 ," 1,351.57 ",
01711,"Alpine, TX"," 6,283 "," 3,292 "," 11,103,460 ", 4.29 , 688 , 0.00 ," 1,465.57 ",
01738,"Altavista, VA"," 4,597 "," 2,250 "," 15,387,790 ", 5.94 ," 163,736 ", 0.06 , 773.74 ,
01765,"Alton, IL"," 79,260 "," 38,052 "," 154,514,205 ", 59.66 ," 2,463,025 ", 0.95 ," 1,328.57 ",
01792,"Altoona, PA"," 74,426 "," 34,467 "," 95,860,663 ", 37.01 ," 160,936 ", 0.06 ," 2,010.86 ",
01846,"Altus, OK"," 18,870 "," 9,194 "," 40,550,855 ", 15.66 ," 525,871 ", 0.20 ," 1,205.23 ",
01873,"Alva, OK"," 5,145 "," 2,637 "," 9,442,972 ", 3.65 ,0.00,0.00," 1,411.15 ",
01900,"Alvarado, TX"," 5,034 "," 1,869 "," 7,883,213 ", 3.04 ," 39,327 ", 0.02 ," 1,653.89 ",
01927,"Amarillo, TX"," 205,860 "," 87,615 "," 217,541,054 ", 83.99 ," 1,780,045 ", 0.69 ," 2,450.92 ",
02008,"Americus, GA"," 17,407 "," 7,609 "," 28,436,180 ", 10.98 ," 154,905 ", 0.06 ," 1,585.44 ",
02062,"Ames, IA"," 66,342 "," 27,846 "," 57,904,564 ", 22.36 ," 209,840 ", 0.08 ," 2,967.38 ",
02103,"Amherst Town--Northampton--Easthampton Town, MA"," 90,570 "," 35,432 "," 141,549,252 ", 54.65 ," 1,731,252 ", 0.67 ," 1,657.20 ",
02143,"Amory, MS"," 5,977 "," 2,952 "," 14,519,988 ", 5.61 ," 27,224 ", 0.01 ," 1,066.14 ",
02170,"Amsterdam, NY"," 21,753 "," 10,808 "," 26,043,582 ", 10.06 ," 841,185 ", 0.32 ," 2,163.30 ",
02197,"Anaconda-Deer Lodge County, MT"," 6,697 "," 3,828 "," 6,759,740 ", 2.61 ,0.00,0.00," 2,565.95 ",
02224,"Anacortes, WA"," 18,529 "," 8,883 "," 25,533,104 ", 9.86 ," 908,946 ", 0.35 ," 1,879.52 ",
02251,"Anadarko, OK"," 5,005 "," 2,252 "," 5,450,708 ", 2.10 ,0.00,0.00," 2,378.20 ",
02278,"Anamosa, IA"," 5,411 "," 2,093 "," 6,854,912 ", 2.65 ," 8,863 ", 0.00 ," 2,044.44 ",
02305,"Anchorage, AK"," 249,252 "," 101,938 "," 237,473,557 ", 91.69 ," 2,775,799 ", 1.07 ," 2,718.45 ",
02332,"Anchorage Northeast, AK"," 29,561 "," 11,251 "," 45,798,297 ", 17.68 ," 475,350 ", 0.18 ," 1,671.74 ",
02359,"Andalusia, AL"," 6,391 "," 3,351 "," 17,775,439 ", 6.86 ," 103,830 ", 0.04 , 931.21 ,
02386,"Anderson, IN"," 79,517 "," 36,893 "," 135,120,308 ", 52.17 ," 395,557 ", 0.15 ," 1,524.18 ",
02420,"Anderson--Clemson, SC"," 118,369 "," 50,811 "," 248,484,739 ", 95.94 ," 7,321,967 ", 2.83 ," 1,233.78 ",
02467,"Andrews, TX"," 15,201 "," 5,797 "," 24,644,900 ", 9.52 ," 30,529 ", 0.01 ," 1,597.51 ",
02500,"Angleton, TX"," 19,866 "," 8,221 "," 28,355,057 ", 10.95 ," 48,854 ", 0.02 ," 1,814.59 ",
02548,"Angola, IN"," 12,686 "," 6,728 "," 32,187,898 ", 12.43 ," 5,901,426 ", 2.28 ," 1,020.77 ",
02575,"Anna, IL"," 6,068 "," 2,749 "," 11,470,852 ", 4.43 ," 57,886 ", 0.02 ," 1,370.09 ",
02602,"Ann Arbor, MI"," 317,689 "," 137,325 "," 371,546,429 ", 143.45 ," 13,342,445 ", 5.15 ," 2,214.56 ",
02629,"Anniston--Oxford, AL"," 78,302 "," 35,959 "," 204,340,445 ", 78.90 ," 1,108,735 ", 0.43 , 992.47 ,
