UACE,Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10162,"Bridgeport--Stamford, CT--NY",857911,861353,864795,868237,871679,875121,878563,882005,885447,888890,892332,895774,899216,902658,906100,909542,912984,916426,919868,923311,922620,921930,921240,920549,919859,919169,918478,917788,917098,916408,915717,915027,914337
62407,"New Haven, CT",502941,506094,509246,512399,515551,518704,521856,525009,528161,531314,534466,537619,540771,543924,547076,550229,553381,556534,559686,562839,562700,562562,562424,562285,562147,562009,561870,561732,561594,561456,561317,561179,561041
22096,"Danbury, CT--NY",142142,143510,144878,146246,147614,148982,150350,151718,153086,154455,155823,157191,158559,159927,161295,162663,164031,165399,166767,168136,168490,168844,169199,169553,169908,170262,170616,170971,171325,171680,172034,172388,172743
49096,"Leominster--Fitchburg, MA",109327,109729,110131,110532,110934,111336,111737,112139,112541,112943,113344,113746,114148,114549,114951,115353,115754,116156,116558,116960,116443,115926,115409,114892,114375,113858,113341,112824,112307,111790,111273,110756,110239
11755,"Burlington, VT",102327,102665,103002,103340,103677,104015,104352,104690,105027,105365,105702,106040,106377,106715,107052,107390,107727,108065,108402,108740,109669,110598,111527,112456,113386,114315,115244,116173,117102,118032,118961,119890,120819
24607,"Dover--Rochester, NH--ME",73588,74351,75114,75877,76640,77403,78166,78929,79692,80456,81219,81982,82745,83508,84271,85034,85797,86560,87323,88087,86517,84947,83378,81808,80239,78669,77099,75530,73960,72391,70821,69251,67682
61165,"Nashua, NH--MA",170834,173759,176683,179608,182532,185457,188381,191306,194230,197155,200079,203004,205928,208853,211777,214702,217626,220551,223475,226400,228058,229716,231375,233033,234692,236350,238008,239667,241325,242984,244642,246300,247959
49339,"Lewiston, ME",42620,43503,44386,45269,46152,47035,47918,48801,49684,50567,51450,52333,53216,54099,54982,55865,56748,57631,58514,59397,59531,59666,59800,59935,60070,60204,60339,60473,60608,60743,60877,61012,61146
05167,"Barnstable Town, MA",240941,241244,241547,241850,242153,242455,242758,243061,243364,243667,243969,244272,244575,244878,245181,245483,245786,246089,246392,246695,252352,258009,263667,269324,274982,280639,286296,291954,297611,303269,308926,314583,320241
92485,"Waterbury, CT",184067,184618,185169,185720,186271,186822,187373,187924,188475,189026,189576,190127,190678,191229,191780,192331,192882,193433,193984,194535,195013,195491,195969,196447,196926,197404,197882,198360,198838,199317,199795,200273,200751
07732,"Binghamton, NY",159604,159524,159444,159364,159284,159204,159124,159044,158964,158884,158804,158724,158644,158564,158484,158404,158324,158244,158164,158084,157869,157655,157441,157227,157013,156798,156584,156370,156156,155942,155727,155513,155299
11350,"Buffalo, NY",1013420,1009340,1005260,1001181,997101,993021,988942,984862,980782,976703,972623,968543,964463,960384,956304,952224,948145,944065,939985,935906,937201,938497,939793,941089,942385,943680,944976,946272,947568,948864,950159,951455,952751
