UACE,Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
71479,"Port St. Lucie, FL",176028,186555,197082,207610,218137,228664,239192,249719,260246,270774,281301,291828,302355,312883,323410,333937,344465,354992,365519,376047,382216,388386,394556,400726,406896,413065,419235,425405,431575,437745,443914,450084,456254
83548,"Spartanburg, SC",112902,116475,120048,123621,127194,130766,134339,137912,141485,145058,148630,152203,155776,159349,162922,166494,170067,173640,177213,180786,182401,184017,185633,187248,188864,190480,192095,193711,195327,196943,198558,200174,201790
22690,"Decatur, AL",36006,37818,39630,41442,43254,45066,46878,48690,50502,52315,54127,55939,57751,59563,61375,63187,64999,66811,68623,70436,69438,68440,67442,66444,65447,64449,63451,62453,61455,60458,59460,58462,57464
43210,"Johnson City, TN",86292,88088,89884,91680,93476,95272,97068,98864,100660,102456,104251,106047,107843,109639,111435,113231,115027,116823,118619,120415,121225,122035,122846,123656,124467,125277,126087,126898,127708,128519,129329,130139,130950
66484,"Owensboro, KY",65074,65362,65650,65938,66226,66513,66801,67089,67377,67665,67952,68240,68528,68816,69104,69391,69679,69967,70255,70543,71132,71721,72310,72899,73488,74077,74666,75255,75844,76433,77022,77611,78200
02764,"Appleton, WI",162059,164906,167753,170600,173447,176294,179141,181988,184835,187683,190530,193377,196224,199071,201918,204765,207612,210459,213306,216154,217635,219116,220597,222079,223560,225041,226523,228004,229485,230967,232448,233929,235410
34813,"Green Bay, WI",170032,171952,173873,175793,177714,179634,181554,183475,185395,187316,189236,191156,193077,194997,196918,198838,200758,202679,204599,206520,208283,210047,211810,213574,215338,217101,218865,220628,222392,224156,225919,227683,229446
44506,"Kenosha, WI",99132,100444,101756,103068,104381,105693,107005,108317,109629,110942,112254,113566,114878,116190,117503,118815,120127,121439,122751,124064,124244,124424,124604,124784,124964,125144,125324,125504,125684,125865,126045,126225,126405
45910,"La Crosse, WI--MN",80154,81244,82334,83424,84515,85605,86695,87785,88875,89966,91056,92146,93236,94326,95417,96507,97597,98687,99777,100868,100668,100468,100269,100069,99870,99670,99470,99271,99071,98872,98672,98472,98273
53200,"Madison, WI",264617,271830,279043,286256,293469,300681,307894,315107,322320,329533,336745,343958,351171,358384,365597,372809,380022,387235,394448,401661,406525,411389,416254,421118,425983,430847,435711,440576,445440,450305,455169,460033,464898
73153,"Racine, WI",125805,126221,126636,127052,127467,127883,128298,128714,129129,129545,129960,130376,130791,131207,131622,132038,132453,132869,133284,133700,133817,133935,134053,134170,134288,134406,134523,134641,134759,134877,134994,135112,135230
57466,"Milwaukee, WI",1248106,1254862,1261618,1268375,1275131,1281887,1288644,1295400,1302156,1308913,1315669,1322425,1329181,1335938,1342694,1349450,1356207,1362963,1369719,1376476,1369507,1362539,1355571,1348603,1341635,1334667,1327699,1320731,1313763,1306795,1299826,1292858,1285890
00766,"Akron, OH",570859,570787,570716,570644,570573,570501,570429,570358,570286,570215,570143,570071,570000,569928,569857,569785,569713,569642,569570,569499,566737,563975,561213,558451,555689,552927,550165,547403,544641,541879,539117,536355,533593
13375,"Canton, OH",255210,256475,257740,259005,260270,261535,262800,264065,265330,266595,267860,269125,270390,271655,272920,274185,275450,276715,277980,279245,280852,282459,284067,285674,287282,288889,290496,292104,293711,295319,296926,298533,300141
17668,"Cleveland, OH",1792023,1791426,1790828,1790231,1789634,1789036,1788439,1787841,1787244,1786647,1786049,1785452,1784854,1784257,1783660,1783062,1782465,1781867,1781270,1780673,1773823,1766974,1760124,1753275,1746425,1739576,1732726,1725877,1719027,1712178,1705328,1698479,1691629
19234,"Columbus, OH",921835,945319,968803,992287,1015772,1039256,1062740,1086224,1109708,1133193,1156677,1180161,1203645,1227129,1250614,1274098,1297582,1321066,1344550,1368035,1387956,1407878,1427800,1447722,1467644,1487566,1507488,1527410,1547332,1567254,1587175,1607097,1627019
22528,"Dayton, OH",684861,686926,688991,691055,693120,695185,697249,699314,701379,703444,705508,707573,709638,711702,713767,715832,717896,719961,722026,724091,719086,714082,709077,704073,699068,694064,689059,684055,679050,674046,669041,664037,659032
87868,"Toledo, OH--MI",498836,499300,499763,500227,500690,501154,501617,502081,502544,503008,503471,503935,504398,504862,505325,505789,506252,506716,507179,507643,506673,505704,504735,503766,502797,501828,500859,499890,498921,497952,496982,496013,495044
97831,"Youngstown, OH",444335,441346,438357,435369,432380,429391,426403,423414,420425,417437,414448,411459,408470,405482,402493,399504,396516,393527,390538,387550,380885,374220,367555,360890,354225,347560,340895,334230,327565,320901,314236,307571,300906
24850,"Duluth, MN--WI",116363,116574,116785,116997,117208,117419,117631,117842,118053,118265,118476,118687,118898,119110,119321,119532,119744,119955,120166,120378,120281,120184,120087,119991,119894,119797,119701,119604,119507,119411,119314,119217,119120
29089,"Fargo, ND--MN",111697,115117,118537,121957,125377,128797,132217,135637,139057,142477,145896,149316,152736,156156,159576,162996,166416,169836,173256,176676,180629,184583,188537,192491,196445,200398,204352,208306,212260,216214,220167,224121,228075
57628,"Minneapolis--St. Paul, MN",2152525,2178755,2204985,2231214,2257444,2283674,2309903,2336133,2362363,2388593,2414822,2441052,2467282,2493511,2519741,2545971,2572200,2598430,2624660,2650890,2677287,2703685,2730082,2756480,2782878,2809275,2835673,2862070,2888468,2914866,2941263,2967661,2994058
77338,"St. Cloud, MN",73920,75852,77783,79715,81647,83578,85510,87441,89373,91305,93236,95168,97099,99031,100963,102894,104826,106757,108689,110621,111322,112024,112726,113427,114129,114831,115532,116234,116936,117638,118339,119041,119743
05869,"Bay City, MI",77164,76818,76472,76125,75779,75433,75086,74740,74394,74048,73701,73355,73009,72662,72316,71970,71623,71277,70931,70585,70373,70162,69951,69739,69528,69317,69105,68894,68683,68472,68260,68049,67838
23824,"Detroit, MI",4055735,4038806,4021877,4004949,3988020,3971091,3954163,3937234,3920305,3903377,3886448,3869519,3852590,3835662,3818733,3801804,3784876,3767947,3751018,3734090,3738370,3742650,3746930,3751210,3755490,3759770,3764050,3768330,3772610,3776890,3781170,3785450,3789730
29872,"Flint, MI",373086,372198,371310,370422,369535,368647,367759,366871,365983,365096,364208,363320,362432,361544,360657,359769,358881,357993,357105,356218,350492,344767,339041,333316,327591,321865,316140,310414,304689,298964,293238,287513,281787
34300,"Grand Rapids, MI",511310,514396,517481,520567,523652,526738,529823,532909,535994,539080,542165,545251,548336,551422,554507,557593,560678,563764,566849,569935,573508,577081,580654,584227,587800,591373,594946,598519,602092,605666,609239,612812,616385
42157,"Jackson, MI",86243,86444,86645,86845,87046,87247,87447,87648,87849,88050,88250,88451,88652,88852,89053,89254,89454,89655,89856,90057,89482,88907,88332,87757,87182,86607,86032,85457,84882,84307,83732,83157,82582
43723,"Kalamazoo, MI",168393,170567,172741,174915,177090,179264,181438,183612,185786,187961,190135,192309,194483,196657,198832,201006,203180,205354,207528,209703,209188,208674,208160,207646,207132,206618,206104,205590,205076,204562,204047,203533,203019
47719,"Lansing, MI",287882,289232,290582,291932,293282,294632,295982,297332,298682,300032,301382,302732,304082,305432,306782,308132,309482,310832,312182,313532,314008,314485,314962,315439,315916,316392,316869,317346,317823,318300,318776,319253,319730
77149,"Saginaw, MI",154233,152761,151289,149817,148345,146873,145401,143929,142457,140985,139513,138041,136569,135097,133625,132153,130681,129209,127737,126265,125244,124223,123202,122182,121161,120140,119120,118099,117078,116058,115037,114016,112995
02602,"Ann Arbor, MI",263997,266209,268421,270633,272845,275056,277268,279480,281692,283904,286115,288327,290539,292751,294963,297174,299386,301598,303810,306022,307188,308355,309522,310688,311855,313022,314188,315355,316522,317689,318855,320022,321189
28333,"Evansville, IN",196363,198099,199835,201571,203308,205044,206780,208516,210252,211989,213725,215461,217197,218933,220670,222406,224142,225878,227614,229351,227101,224851,222602,220352,218103,215853,213603,211354,209104,206855,204605,202355,200106
31087,"Fort Wayne, IN",264599,267172,269745,272319,274892,277465,280039,282612,285185,287759,290332,292905,295478,298052,300625,303198,305772,308345,310918,313492,315736,317980,320224,322468,324713,326957,329201,331445,333689,335934,338178,340422,342666
16264,"Chicago, IL--IN",8037630,8067660,8097691,8127721,8157752,8187782,8217812,8247843,8277873,8307904,8337934,8367964,8397995,8428025,8458056,8488086,8518116,8548147,8578177,8608208,8614561,8620915,8627269,8633623,8639977,8646330,8652684,8659038,8665392,8671746,8678099,8684453,8690807
08407,"Bloomington--Normal, IL",94248,96267,98285,100304,102322,104341,106359,108378,110396,112415,114433,116452,118470,120489,122507,124526,126544,128563,130581,132600,132750,132900,133050,133200,133350,133500,133650,133800,133950,134100,134250,134400,134550
41212,"Indianapolis, IN",977211,1004067,1030924,1057780,1084637,1111493,1138349,1165206,1192062,1218919,1245775,1272631,1299488,1326344,1353201,1380057,1406913,1433770,1460626,1487483,1508722,1529962,1551202,1572442,1593682,1614921,1636161,1657401,1678641,1699881,1721120,1742360,1763600
46018,"Lafayette, IN",105949,108148,110347,112545,114744,116943,119141,121340,123539,125738,127936,130135,132334,134532,136731,138930,141128,143327,145526,147725,148662,149600,150537,151475,152412,153350,154287,155225,156162,157100,158037,158975,159912
83116,"South Bend, IN--MI",274997,275164,275331,275497,275664,275831,275997,276164,276331,276498,276664,276831,276998,277164,277331,277498,277664,277831,277998,278165,278240,278316,278391,278467,278543,278618,278694,278769,278845,278921,278996,279072,279147
87139,"Terre Haute, IN",67346,68683,70019,71356,72693,74029,75366,76702,78039,79376,80712,82049,83385,84722,86059,87395,88732,90068,91405,92742,91454,90166,88878,87590,86302,85014,83726,82438,81150,79862,78574,77286,75998
60625,"Muncie, IN",90756,90747,90738,90728,90719,90710,90700,90691,90682,90673,90663,90654,90645,90635,90626,90617,90607,90598,90589,90580,89960,89340,88720,88100,87481,86861,86241,85621,85001,84382,83762,83142,82522
68509,"Peoria, IL",229397,231372,233347,235322,237297,239272,241247,243222,245197,247172,249146,251121,253096,255071,257046,259021,260996,262971,264946,266921,266207,265493,264779,264065,263351,262637,261923,261209,260495,259781,259067,258353,257639
22366,"Davenport, IA--IL",262143,263086,264028,264971,265913,266856,267798,268741,269683,270626,271568,272511,273453,274396,275338,276281,277223,278166,279108,280051,280567,281083,281599,282115,282631,283147,283663,284179,284695,285211,285727,286243,286759
75718,"Rockford, IL",246609,249254,251899,254544,257189,259834,262479,265124,267769,270414,273058,275703,278348,280993,283638,286283,288928,291573,294218,296863,294821,292779,290737,288695,286653,284611,282569,280527,278485,276443,274401,272359,270317
83899,"Springfield, IL",146496,147276,148056,148836,149616,150396,151176,151956,152736,153516,154296,155076,155856,156636,157416,158196,158976,159756,160536,161316,161110,160905,160700,160495,160290,160085,159880,159675,159470,159265,159059,158854,158649
15211,"Champaign, IL",104657,106799,108941,111084,113226,115368,117511,119653,121795,123938,126080,128222,130364,132507,134649,136791,138934,141076,143218,145361,145570,145779,145988,146197,146406,146615,146824,147033,147242,147452,147661,147870,148079
22717,"Decatur, IL",98785,98526,98267,98008,97749,97490,97231,96972,96713,96454,96194,95935,95676,95417,95158,94899,94640,94381,94122,93863,93105,92347,91590,90832,90075,89317,88559,87802,87044,86287,85529,84771,84014
75637,"Rochester, MN",76505,78146,79786,81427,83068,84708,86349,87989,89630,91271,92911,94552,96192,97833,99474,101114,102755,104395,106036,107677,109068,110459,111850,113241,114632,116023,117414,118805,120196,121587,122978,124369,125760
26038,"Eau Claire, WI",81079,82225,83371,84517,85663,86809,87955,89101,90247,91393,92538,93684,94830,95976,97122,98268,99414,100560,101706,102852,103114,103376,103638,103901,104163,104425,104688,104950,105212,105475,105737,105999,106261
08380,"Bloomington, IN",77875,79495,81115,82735,84355,85975,87595,89215,90835,92456,94076,95696,97316,98936,100556,102176,103796,105416,107036,108657,108801,108946,109090,109235,109380,109524,109669,109813,109958,110103,110247,110392,110536
45694,"Kokomo, IN",65140,64984,64828,64673,64517,64361,64206,64050,63894,63739,63583,63427,63271,63116,62960,62804,62649,62493,62337,62182,62221,62260,62300,62339,62379,62418,62457,62497,62536,62576,62615,62654,62694
77770,"St. Louis, MO--IL",2011922,2019226,2026531,2033835,2041140,2048444,2055748,2063053,2070357,2077662,2084966,2092270,2099575,2106879,2114184,2121488,2128792,2136097,2143401,2150706,2151267,2151829,2152391,2152952,2153514,2154076,2154637,2155199,2155761,2156323,2156884,2157446,2158008
71155,"Port Huron, MI",85928,85990,86052,86114,86176,86238,86300,86362,86424,86486,86548,86610,86672,86734,86796,86858,86920,86982,87044,87106,86618,86130,85642,85154,84666,84178,83690,83202,82714,82226,81738,81250,80762
26794,"Elkhart, IN--MI",120096,121333,122569,123806,125043,126279,127516,128752,129989,131226,132462,133699,134935,136172,137409,138645,139882,141118,142355,143592,144052,144513,144974,145434,145895,146356,146816,147277,147738,148199,148659,149120,149581
43885,"Kankakee, IL",49905,51590,53275,54961,56646,58331,60017,61702,63387,65073,66758,68443,70128,71814,73499,75184,76870,78555,80240,81926,80386,78846,77307,75767,74228,72688,71148,69609,68069,66530,64990,63450,61911
61705,"Newark, OH",64540,65147,65754,66360,66967,67574,68180,68787,69394,70001,70607,71214,71821,72427,73034,73641,74247,74854,75461,76068,76583,77099,77614,78130,78645,79161,79676,80192,80707,81223,81738,82254,82769
22960,"DeKalb, IL",44339,45613,46887,48161,49435,50709,51983,53257,54531,55805,57079,58353,59627,60901,62175,63449,64723,65997,67271,68545,68164,67783,67402,67021,66640,66259,65878,65497,65116,64736,64355,63974,63593
39430,"Holland, MI",84463,85278,86092,86907,87722,88536,89351,90165,90980,91795,92609,93424,94238,95053,95868,96682,97497,98311,99126,99941,100650,101359,102068,102778,103487,104196,104906,105615,106324,107034,107743,108452,109161
58357,"Monroe, MI",54874,54683,54492,54300,54109,53918,53726,53535,53344,53153,52961,52770,52579,52387,52196,52005,51813,51622,51431,51240,51842,52444,53046,53648,54250,54852,55454,56056,56658,57260,57862,58464,59066
27253,"El Paso, TX--NM",559344,572173,585001,597830,610658,623487,636315,649144,661972,674801,687629,700458,713286,726115,738943,751772,764600,777429,790257,803086,808235,813385,818535,823685,828835,833984,839134,844284,849434,854584,859733,864883,870033
22042,"Dallas--Fort Worth--Arlington, TX",3267049,3364672,3462295,3559919,3657542,3755165,3852789,3950412,4048035,4145659,4243282,4340905,4438528,4536152,4633775,4731398,4829022,4926645,5024268,5121892,5182938,5243984,5305030,5366076,5427123,5488169,5549215,5610261,5671307,5732354,5793400,5854446,5915492
40429,"Houston, TX",2812868,2925050,3037232,3149415,3261597,3373779,3485962,3598144,3710326,3822509,3934691,4046873,4159055,4271238,4383420,4495602,4607785,4719967,4832149,4944332,5035256,5126180,5217104,5308029,5398953,5489877,5580802,5671726,5762650,5853575,5944499,6035423,6126347
47854,"Laredo, TX",121456,127470,133485,139499,145514,151528,157542,163557,169571,175586,181600,187614,193629,199643,205658,211672,217686,223701,229715,235730,237303,238876,240449,242022,243596,245169,246742,248315,249888,251462,253035,254608,256181
51877,"Lubbock, TX",170607,174120,177633,181146,184659,188172,191685,195198,198711,202225,205738,209251,212764,216277,219790,223303,226816,230329,233842,237356,240848,244340,247833,251325,254818,258310,261802,265295,268787,272280,275772,279264,282757
78580,"San Antonio, TX",939963,983029,1026094,1069160,1112226,1155291,1198357,1241422,1284488,1327554,1370619,1413685,1456750,1499816,1542882,1585947,1629013,1672078,1715144,1758210,1781657,1805105,1828553,1852001,1875449,1898897,1922345,1945793,1969241,1992689,2016136,2039584,2063032
91027,"Waco, TX",135936,137854,139772,141690,143608,145526,147444,149362,151280,153198,155116,157034,158952,160870,162788,164706,166624,168542,170460,172378,174424,176471,178517,180564,182611,184657,186704,188750,190797,192844,194890,196937,198983
10972,"Brownsville, TX",119147,124328,129509,134690,139871,145052,150233,155414,160595,165776,170956,176137,181318,186499,191680,196861,202042,207223,212404,217585,217470,217356,217242,217128,217014,216900,216786,216672,216558,216444,216329,216215,216101
32491,"Galveston--Texas City, TX",64443,63368,62293,61218,60144,59069,57994,56919,55844,54770,53695,52620,51545,50470,49396,48321,47246,46171,45096,44022,58806,73590,88374,103158,117942,132726,147510,162294,177078,191863,206647,221431,236215
06058,"Beaumont, TX",131547,132409,133271,134133,134995,135856,136718,137580,138442,139304,140165,141027,141889,142751,143613,144474,145336,146198,147060,147922,147794,147667,147540,147412,147285,147158,147030,146903,146776,146649,146521,146394,146267
65080,"Oklahoma City, OK",643951,655401,666851,678301,689752,701202,712652,724102,735552,747003,758453,769903,781353,792803,804254,815704,827154,838604,850054,861505,873582,885659,897736,909813,921890,933967,946044,958121,970198,982276,994353,1006430,1018507
88948,"Tulsa, OK",470894,480609,490324,500039,509754,519469,529184,538899,548614,558329,568044,577759,587474,597189,606904,616619,626334,636049,645764,655479,662212,668945,675678,682411,689144,695877,702610,709343,716076,722810,729543,736276,743009
01171,"Albuquerque, NM",469376,483689,498002,512314,526627,540940,555252,569565,583878,598191,612503,626816,641129,655441,669754,684067,698379,712692,727005,741318,744169,747021,749873,752725,755577,758429,761281,764133,766985,769837,772688,775540,778392
05680,"Baton Rouge, LA",375258,386787,398316,409845,421374,432903,444432,455961,467490,479019,490548,502077,513606,525135,536664,548193,559722,571251,582780,594309,598010,601712,605414,609115,612817,616519,620220,623922,627624,631326,635027,638729,642431
81739,"Shreveport, LA",254419,256729,259040,261350,263661,265971,268281,270592,272902,275213,277523,279833,282144,284454,286765,289075,291385,293696,296006,298317,297290,296264,295237,294211,293184,292158,291131,290105,289078,288052,287025,285999,284972
62677,"New Orleans, LA",1107905,1096947,1085989,1075031,1064073,1053115,1042157,1031199,1020241,1009283,998325,987367,976409,965451,954493,943535,932577,921619,910661,899703,906053,912404,918755,925106,931457,937808,944159,950510,956861,963212,969562,975913,982264
50392,"Little Rock, AR",296379,303485,310591,317696,324802,331908,339013,346119,353225,360331,367436,374542,381648,388753,395859,402965,410070,417176,424282,431388,434435,437483,440530,443578,446626,449673,452721,455768,458816,461864,464911,467959,471006
46045,"Lafayette, LA",110902,118366,125830,133294,140758,148222,155686,163150,170614,178079,185543,193007,200471,207935,215399,222863,230327,237791,245255,252720,250179,247639,245098,242558,240018,237477,234937,232396,229856,227316,224775,222235,219694
04384,"Austin, TX",487473,533523,579572,625622,671672,717721,763771,809820,855870,901920,947969,994019,1040068,1086118,1132168,1178217,1224267,1270316,1316366,1362416,1407163,1451910,1496657,1541404,1586152,1630899,1675646,1720393,1765140,1809888,1854635,1899382,1944129
20287,"Corpus Christi, TX",270395,273009,275624,278238,280853,283467,286081,288696,291310,293925,296539,299153,301768,304382,306997,309611,312225,314840,317454,320069,321968,323868,325768,327667,329567,331467,333366,335266,337166,339066,340965,342865,344765
18748,"College Station--Bryan, TX",97539,101424,105308,109193,113077,116962,120846,124731,128615,132500,136384,140269,144153,148038,151922,155807,159691,163576,167460,171345,174824,178303,181782,185261,188741,192220,195699,199178,202657,206137,209616,213095,216574
79363,"Santa Fe, NM",72284,73179,74074,74968,75863,76758,77652,78547,79442,80337,81231,82126,83021,83915,84810,85705,86599,87494,88389,89284,89779,90275,90771,91266,91762,92258,92753,93249,93745,94241,94736,95232,95728
52390,"McAllen, TX",338031,358599,379167,399735,420303,440871,461439,482007,502575,523144,543712,564280,584848,605416,625984,646552,667120,687688,708256,728825,733897,738970,744043,749116,754189,759261,764334,769407,774480,779553,784625,789698,794771
44992,"Killeen, TX",123287,128252,133218,138183,143149,148114,153079,158045,163010,167976,172941,177906,182872,187837,192803,197768,202733,207699,212664,217630,221589,225548,229507,233466,237426,241385,245344,249303,253262,257222,261181,265140,269099
90514,"Victoria, TX",59590,59805,60021,60236,60452,60667,60882,61098,61313,61529,61744,61959,62175,62390,62606,62821,63036,63252,63467,63683,63913,64143,64373,64604,64834,65064,65295,65525,65755,65986,66216,66446,66676
23500,"Denton--Lewisville, TX",240107,246742,253377,260012,266647,273282,279917,286552,293187,299823,306458,313093,319728,326363,332998,339633,346268,352903,359538,366174,372502,378831,385160,391488,397817,404146,410474,416803,423132,429461,435789,442118,448447
78553,"San Angelo, TX",83455,83957,84458,84960,85461,85963,86464,86966,87467,87969,88470,88972,89473,89975,90476,90978,91479,91981,92482,92984,93683,94383,95083,95783,96483,97182,97882,98582,99282,99982,100681,101381,102081
81631,"Sherman--Denison, TX",51009,51582,52155,52728,53302,53875,54448,55021,55594,56168,56741,57314,57887,58460,59034,59607,60180,60753,61326,61900,62379,62858,63337,63816,64295,64774,65253,65732,66211,66691,67170,67649,68128
47935,"Las Cruces, NM",82213,84654,87096,89537,91979,94420,96861,99303,101744,104186,106627,109068,111510,113951,116393,118834,121275,123717,126158,128600,129673,130747,131821,132895,133969,135042,136116,137190,138264,139338,140411,141485,142559
49933,"Lincoln, NE",197658,200872,204086,207299,210513,213727,216940,220154,223368,226582,229795,233009,236223,239436,242650,245864,249077,252291,255505,258719,261968,265218,268468,271718,274968,278217,281467,284717,287967,291217,294466,297716,300966
65269,"Omaha, NE--IA",538076,547915,557753,567592,577430,587269,597107,606946,616784,626623,636461,646300,656138,665977,675815,685654,695492,705331,715169,725008,734458,743908,753358,762808,772258,781708,791158,800608,810058,819508,828958,838408,847858
83953,"Springfield, MO",162156,168028,173900,179772,185644,191516,197388,203260,209132,215004,220876,226748,232620,238492,244364,250236,256108,261980,267852,273724,274616,275509,276402,277294,278187,279080,279972,280865,281758,282651,283543,284436,285329
43912,"Kansas City, MO--KS",1219838,1235605,1251372,1267140,1282907,1298674,1314442,1330209,1345976,1361744,1377511,1393278,1409045,1424813,1440580,1456347,1472115,1487882,1503649,1519417,1534897,1550377,1565857,1581337,1596817,1612297,1627777,1643257,1658737,1674218,1689698,1705178,1720658
14752,"Cedar Rapids, IA",135075,137326,139577,141828,144079,146330,148581,150832,153083,155334,157585,159836,162087,164338,166589,168840,171091,173342,175593,177844,179344,180844,182344,183844,185344,186844,188344,189844,191344,192844,194344,195844,197344
23743,"Des Moines, IA",298896,306853,314809,322766,330722,338679,346635,354592,362548,370505,378461,386418,394374,402331,410287,418244,426200,434157,442113,450070,459311,468553,477794,487036,496278,505519,514761,524002,533244,542486,551727,560969,570210
82225,"Sioux City, IA--NE--SD",105781,105819,105856,105894,105931,105969,106006,106044,106081,106119,106156,106194,106231,106269,106306,106344,106381,106419,106456,106494,107151,107808,108465,109122,109780,110437,111094,111751,112408,113066,113723,114380,115037
88084,"Topeka, KS",135578,136337,137096,137855,138615,139374,140133,140892,141651,142411,143170,143929,144688,145447,146207,146966,147725,148484,149243,150003,149898,149793,149688,149584,149479,149374,149270,149165,149060,148956,148851,148746,148641
95077,"Wichita, KS",376788,381845,386902,391959,397016,402073,407130,412187,417244,422301,427357,432414,437471,442528,447585,452642,457699,462756,467813,472870,475606,478342,481078,483814,486550,489286,492022,494758,497494,500231,502967,505703,508439
18937,"Columbia, MO",75406,78003,80600,83197,85794,88391,90988,93585,96182,98779,101375,103972,106569,109166,111763,114360,116957,119554,122151,124748,126456,128164,129872,131581,133289,134997,136706,138414,140122,141831,143539,145247,146955
41590,"Iowa City, IA",66010,68147,70285,72422,74560,76697,78834,80972,83109,85247,87384,89521,91659,93796,95934,98071,100208,102346,104483,106621,108639,110658,112677,114696,116715,118734,120753,122772,124791,126810,128828,130847,132866
02062,"Ames, IA",41985,42956,43927,44898,45870,46841,47812,48783,49754,50726,51697,52668,53639,54610,55582,56553,57524,58495,59466,60438,61028,61618,62209,62799,63390,63980,64570,65161,65751,66342,66932,67522,68113
48232,"Lawrence, KS",72081,72922,73762,74603,75444,76284,77125,77965,78806,79647,80487,81328,82168,83009,83850,84690,85531,86371,87212,88053,88747,89442,90136,90831,91525,92220,92914,93609,94303,94998,95692,96387,97081
78499,"Salt Lake City, UT",767416,780775,794134,807494,820853,834212,847572,860931,874290,887650,901009,914368,927727,941087,954446,967805,981165,994524,1007883,1021243,1036972,1052701,1068430,1084159,1099888,1115617,1131346,1147075,1162804,1178533,1194262,1209991,1225720
82252,"Sioux Falls, SD",95011,98262,101513,104764,108015,111265,114516,117767,121018,124269,127519,130770,134021,137272,140523,143773,147024,150275,153526,156777,160527,164278,168028,171779,175530,179280,183031,186781,190532,194283,198033,201784,205534
07705,"Billings, MT",87306,88752,90197,91643,93089,94534,95980,97425,98871,100317,101762,103208,104653,106099,107545,108990,110436,111881,113327,114773,116174,117575,118977,120378,121780,123181,124582,125984,127385,128787,130188,131589,132991
18856,"Colorado Springs, CO",382163,391492,400821,410149,419478,428807,438135,447464,456793,466122,475450,484779,494108,503436,512765,522094,531422,540751,550080,559409,566717,574026,581334,588643,595951,603260,610568,617877,625185,632494,639802,647111,654419
23527,"Denver--Aurora, CO",1634502,1673434,1712365,1751297,1790229,1829160,1868092,1907023,1945955,1984887,2023818,2062750,2101681,2140613,2179545,2218476,2257408,2296339,2335271,2374203,2405397,2436591,2467786,2498980,2530175,2561369,2592563,2623758,2654952,2686147,2717341,2748535,2779730
72613,"Pueblo, CO",111471,112791,114111,115431,116751,118071,119391,120711,122031,123351,124670,125990,127310,128630,129950,131270,132590,133910,135230,136550,134959,133368,131777,130186,128596,127005,125414,123823,122232,120642,119051,117460,115869
34219,"Grand Forks, ND--MN",52345,52815,53285,53754,54224,54694,55163,55633,56103,56573,57042,57512,57982,58451,58921,59391,59860,60330,60800,61270,61959,62648,63337,64026,64715,65404,66093,66782,67471,68160,68849,69538,70227
57736,"Missoula, MT",58091,59358,60624,61891,63158,64424,65691,66957,68224,69491,70757,72024,73290,74557,75824,77090,78357,79623,80890,82157,82752,83347,83942,84537,85133,85728,86323,86918,87513,88109,88704,89299,89894
30628,"Fort Collins, CO",154584,160367,166150,171933,177717,183500,189283,195066,200849,206633,212416,218199,223982,229765,235549,241332,247115,252898,258681,264465,270651,276838,283025,289211,295398,301585,307771,313958,320145,326332,332518,338705,344892
34759,"Great Falls, MT",63649,63731,63813,63895,63977,64059,64141,64223,64305,64387,64469,64551,64633,64715,64797,64879,64961,65043,65125,65207,65396,65585,65774,65963,66152,66341,66530,66719,66908,67097,67286,67475,67664
50959,"Logan, UT",59270,61150,63029,64909,66789,68668,70548,72427,74307,76187,78066,79946,81825,83705,85585,87464,89344,91223,93103,94983,96877,98771,100666,102560,104455,106349,108243,110138,112032,113927,115821,117715,119610
09298,"Boulder, CO",110236,110465,110694,110923,111153,111382,111611,111840,112069,112299,112528,112757,112986,113215,113445,113674,113903,114132,114361,114591,115214,115838,116462,117085,117709,118333,118956,119580,120204,120828,121451,122075,122699
74179,"Reno, NV--CA",224082,232927,241772,250617,259463,268308,277153,285998,294843,303689,312534,321379,330224,339069,347915,356760,365605,374450,383295,392141,397579,403018,408457,413896,419335,424773,430212,435651,441090,446529,451967,457406,462845
78904,"San Francisco--Oakland, CA",2738870,2767414,2795958,2824503,2853047,2881591,2910136,2938680,2967224,2995769,3024313,3052857,3081401,3109946,3138490,3167034,3195579,3224123,3252667,3281212,3304684,3328156,3351628,3375100,3398572,3422044,3445516,3468988,3492460,3515933,3539405,3562877,3586349
04681,"Bakersfield, CA",281042,293829,306616,319403,332190,344977,357764,370551,383338,396125,408911,421698,434485,447272,460059,472846,485633,498420,511207,523994,528618,533242,537866,542490,547114,551738,556362,560986,565610,570235,574859,579483,584107
79336,"Santa Cruz, CA",151628,152264,152899,153535,154170,154806,155441,156077,156712,157348,157983,158619,159254,159890,160525,161161,161796,162432,163067,163703,164236,164770,165303,165837,166370,166904,167437,167971,168504,169038,169571,170105,170638
51445,"Los Angeles--Long Beach--Anaheim, CA",11464128,11500279,11536430,11572581,11608732,11644883,11681034,11717185,11753336,11789487,11825637,11861788,11897939,11934090,11970241,12006392,12042543,12078694,12114845,12150996,12159634,12168272,12176910,12185548,12194186,12202824,12211462,12220100,12228738,12237376,12246014,12254652,12263290
