UACE Code,Primary UZA Name,UZA Area SQ Miles,UZA Population,Cities
53200,"Madison, WI",149.7,450305,Madison WI
57466,"Milwaukee, WI",463.68,1306795,"Milwaukee WI, Waukesha WI, West Bend WI, Port Washington WI"
00766,"Akron, OH",300.64,541879,"Akron OH, Kent OH"
13375,"Canton, OH",180.19,295319,Canton OH
17668,"Cleveland, OH",713.81,1712178,"Cleveland OH, Painesville OH, Medina OH"
19234,"Columbus, OH",516.16,1567254,"Columbus OH, Delaware OH"
22528,"Dayton, OH",319.89,674046,"Dayton OH, Xenia OH, Troy OH"
87868,"Toledo, OH--MI",240.71,497952,Toledo OH
97831,"Youngstown, OH",195.96,320901,Youngstown OH
24850,"Duluth, MN--WI",66.87,119411,Duluth MN
57628,"Minneapolis--St. Paul, MN",1014.79,2914866,"Minneapolis MN, Maple Grove MN, Eden Prairie MN, Burnsville MN"
77338,"St. Cloud, MN",53.97,117638,Saint Cloud MN
05869,"Bay City, MI",39.93,68472,Bay City MI
23824,"Detroit, MI",1284.83,3776890,"Detroit MI, Lansing MI"
29872,"Flint, MI",205.46,298964,Flint MI
34300,"Grand Rapids, MI",274.36,605666,Grand Rapids MI
42157,"Jackson, MI",52.03,84307,Jackson MI
43723,"Kalamazoo, MI",109.46,204562,Kalamazoo MI
47719,"Lansing, MI",155.83,318300,Lansing MI
02602,"Ann Arbor, MI",143.45,317689,Ann Arbor MI
31087,"Fort Wayne, IN",163.6,335934,Fort Wayne IN
16264,"Chicago, IL--IN",2337.89,8671746,"Gary IN, Chicago IL, Chesterton IN, Arlington Heights IL"
08407,"Bloomington--Normal, IL",50.36,134100,Normal IL
41212,"Indianapolis, IN",722.55,1699881,"Indianapolis IN, Danville IN"
46018,"Lafayette, IN",68.74,157100,Lafayette IN
83116,"South Bend, IN--MI",147.93,278921,South Bend IN
87139,"Terre Haute, IN",46.83,79862,Terre Haute IN
60625,"Muncie, IN",48.2,84382,Muncie IN
68509,"Peoria, IL",145.79,259781,Peoria IL
22366,"Davenport, IA--IL",134.86,285211,"Moline IL, Davenport IA"
75718,"Rockford, IL",133.81,276443,Rockford IL
83899,"Springfield, IL",81.74,159265,Springfield IL
15211,"Champaign, IL",46.52,147452,Urbana IL
22717,"Decatur, IL",55.11,86287,Decatur IL
75637,"Rochester, MN",51.59,121587,Rochester MN
26038,"Eau Claire, WI",62.5,105475,Eau Claire WI
08380,"Bloomington, IN",43.04,110103,Bloomington IN
77770,"St. Louis, MO--IL",910.37,2156323,"Pontoon Beach IL, Saint Louis MO"
27253,"El Paso, TX--NM",255.88,854584,El Paso TX
22042,"Dallas--Fort Worth--Arlington, TX",1746.9,5732354,"Fort Worth TX, Arlington TX, Dallas TX, Terrell TX"
40429,"Houston, TX",1752.69,5853575,"Houston TX, Richmond TX"
47854,"Laredo, TX",64.2,251462,Laredo TX
51877,"Lubbock, TX",106.27,272280,Lubbock TX
78580,"San Antonio, TX",613.44,1992689,San Antonio TX
91027,"Waco, TX",89.88,192844,Waco TX
06058,"Beaumont, TX",96.1,146649,Beaumont TX
65080,"Oklahoma City, OK",421.73,982276,Oklahoma City OK
88948,"Tulsa, OK",338.32,722810,Tulsa OK
01171,"Albuquerque, NM",263.07,769837,Albuquerque NM
05680,"Baton Rouge, LA",396.34,631326,Baton Rouge LA
81739,"Shreveport, LA",180.84,288052,Shreveport LA
62677,"New Orleans, LA",270.27,963212,"New Orleans LA, Gretna LA, Belle Chasse LA"
50392,"Little Rock, AR",267.82,461864,North Little Rock AR
46045,"Lafayette, LA",161.2,227316,Lafayette LA
20287,"Corpus Christi, TX",129.27,339066,Corpus Christi TX
18748,"College Station--Bryan, TX",81.63,206137,Bryan TX
49933,"Lincoln, NE",94.17,291217,Lincoln NE
65269,"Omaha, NE--IA",270.81,819508,"Omaha NE, Lincoln NE"
83953,"Springfield, MO",134.33,282651,Springfield MO
43912,"Kansas City, MO--KS",714.1,1674218,"Kansas City MO, Olathe KS"
14752,"Cedar Rapids, IA",86.03,192844,Cedar Rapids IA
23743,"Des Moines, IA",224.74,542486,Des Moines IA
88084,"Topeka, KS",84.24,148956,Topeka KS
95077,"Wichita, KS",226.84,500231,Wichita KS
18937,"Columbia, MO",67.2,141831,Columbia MO
41590,"Iowa City, IA",50.83,126810,"Iowa City IA, Coralville IA"
78499,"Salt Lake City, UT",300.42,1178533,Salt Lake City UT
82252,"Sioux Falls, SD",67.9,194283,Sioux Falls SD
07705,"Billings, MT",54.7,128787,Billings MT
18856,"Colorado Springs, CO",200.36,632494,Colorado Springs CO
23527,"Denver--Aurora, CO",644.54,2686147,Denver CO
72613,"Pueblo, CO",54.7,120642,Pueblo CO
