NTD ID,Agency Name,City,State,Primary UZA Name,UZA Area SQ Miles,UZA Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR--WA",519.3,2104238,3745838.0,3725986.0,4360770.0,4924049.0,5285944.0,6146409.0,6863967.0,7447013.0,8006460.0,6793646.0,6181230.0,6432202.0,6905040.0,7030978.0,5812417.0,5647840.0,5736915.0,7230617.0,6430633.0,6552570.0,6958604.0,6888950.0,6491301.0,6365278.0,6174506.0,5940495.0,6027683.0,6220752.0,6295062.0,3832449.0,3459565.0,4004631.0,4492306.0
00046,City of Wilsonville (SMART),Wilsonville,OR,"Portland, OR--WA",519.3,2104238,,,,,,,,,,,,212004.0,227074.0,254043.0,275558.0,305809.0,285397.0,293899.0,312309.0,306421.0,344723.0,370526.0,351374.0,374408.0,343793.0,317676.0,306255.0,290910.0,309950.0,241673.0,110096.0,156663.0,185195.0
00058,City of Portland (PBOT) - Bureau of Transportation,Portland,OR,"Portland, OR--WA",519.3,2104238,,,,,,,,,,,,,,,,,,,,,,3664537.0,5462845.0,6182940.0,6476307.0,6416746.0,6870310.0,6947667.0,6595730.0,4777701.0,1564336.0,2373341.0,3692695.0
00376,"Ride Connection, Inc.",Portland,OR,"Portland, OR--WA",519.3,2104238,,,,,,,,,,,,,,,,,11797.0,,,28.0,130.0,,,59062.0,63017.0,43975.0,239569.0,249464.0,302088.0,268186.0,138258.0,162896.0,164113.0
00011,Valley Regional Transit (VRT),Meridian,ID,"Boise City, ID",139.23,433180,808761.0,783097.0,859392.0,1069805.0,1340202.0,1216350.0,1200251.0,1173450.0,1121672.0,1095017.0,1136176.0,1159736.0,1191394.0,1111601.0,1108670.0,1090750.0,1099355.0,1292485.0,1444656.0,1418311.0,1669542.0,1543676.0,1500272.0,1466139.0,1433680.0,1424738.0,1405349.0,1369532.0,1321605.0,1280669.0,924382.0,1025868.0,1096198.0
00415,Ada County Highway District (ACHD CR),Boise,ID,"Boise City, ID",139.23,433180,,,,,,,,,,,,,,,,,,,,,,,,,,,180757.0,170512.0,174463.0,117864.0,103960.0,123058.0,130715.0
00012,Municipality of Anchorage - Public Transportation,Anchorage,AK,"Anchorage, AK",91.69,249252,3218062.0,3102711.0,3117717.0,3097134.0,3083778.0,3164082.0,3290397.0,3421082.0,3537657.0,3591004.0,3593901.0,3382038.0,3619051.0,3815009.0,4249224.0,4128884.0,4169588.0,4406654.0,4378170.0,4343325.0,4347011.0,4284997.0,4170898.0,4035897.0,3808313.0,3817733.0,3615649.0,3566747.0,3750404.0,1934220.0,2193906.0,2731671.0,3117877.0
00041,Alaska Railroad Corporation (ARRC),Anchorage,AK,"Anchorage, AK",91.69,249252,,,,,,,,,,,84566.0,84666.0,88889.0,96484.0,144620.0,120361.0,129895.0,137819.0,113653.0,107550.0,115191.0,145260.0,156301.0,164674.0,178350.0,187309.0,192331.0,199666.0,203367.0,31960.0,166263.0,219757.0,225434.0
00016,City of Longview (RCT) - Transit Division,Longview,WA,"Longview, WA--OR",35.19,69841,353660.0,356501.0,373275.0,395121.0,,,443656.0,419188.0,418024.0,305207.0,315035.0,372051.0,366692.0,378799.0,365306.0,376447.0,385202.0,408151.0,494392.0,452003.0,451632.0,443065.0,419123.0,451763.0,484994.0,447099.0,427399.0,406939.0,390598.0,230325.0,195391.0,236475.0,274804.0
00018,Ben Franklin Transit (BFT),Richland,WA,"Kennewick--Richland--Pasco, WA",112.21,255401,2967331.0,2793146.0,3453176.0,3519828.0,3989036.0,4469510.0,4675965.0,4645443.0,4645485.0,4645481.0,3768708.0,3671030.0,3788103.0,,4376780.0,4422236.0,4777674.0,4894190.0,5497105.0,5074973.0,4841742.0,4678656.0,4117396.0,4148158.0,3956125.0,3632286.0,3301942.0,3120955.0,3126689.0,1613413.0,1797039.0,2397563.0,3178377.0
